Recipe Name,URL,appetizers & sides,beef,bread,breakfast & brunch,chicken,comfort food,dessert,fish & seafood,holiday dishes,lighter meals,Mexican,pasta,pizza,sandwiches,salads,soups & stews,sauces,weeknight meals,pork,vegetarian,burgers,Asian,BBQ & grilling,quick & easy,slow cooker,eggs,tacos,meal prep,dips & spreads
Birria Tacos,/recipes/birria-tacos,,X,,,,,,,,,X,,,,,X,,,,,,,,,,,X,,
Ground Beef Gyro,/recipes/1k635z16ti5m58c89wyjfydyysxi73,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Chicken Teriyaki,/recipes/chicken-teriyaki,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,,,
Healthy Meal Prep That Actually Tastes Good,/recipes/healthy-meal-prep,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,
Moroccan Ground Beef Stew,/recipes/w2qdz8fsgq3zuw4dbdedef664jl2wf,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Chili Crisp Peanut Noodles,/recipes/lxrti2fuaxgbd6yinw6ftjmfdjxaql,,,,,,,,,,,,X,,,,,,,,X,,X,,X,,,,,
Beef Pad Kra Pao,/recipes/beef-pad-kra-pao,,X,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Sunday Roast,/recipes/sunday-roast,,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,,
Grilled Cheese and Tomato Soup,/recipes/grilled-cheese-tomato-soup,,,,,,,X,,,,,,,X,,X,,,,,X,,,,,,,,
Mongolian Beef,/recipes/mongolian-beef,,X,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Osso Buco,/recipes/osso-buco,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,
The Greatest Brownies of All Time,/recipes/the-greatest-brownies-of-all-time,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Chicken Parm,/recipes/chicken-parm,,,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,
Prime Rib,/recipes/prime-rib,,X,,,,,,,X,,,,,,,,,,,,,,,X,,,,,
Chili Crisp,/recipes/chili-crisp,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Gooey Chocolate Chip Cookies,/recipes/gooey-cookies,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Chewy Chocolate Chip Cookies,/recipes/chewy-cookies,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Crispy Chocolate Chip Cookies,/recipes/crispy-cookies,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Pumpkin Crunch,/recipes/pumpkin-crunch,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Pumpkin Basque Cheesecake,/recipes/pumpkin-cheesecake,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Cheeseburger Casserole,/recipes/cheeseburger-casserole,,X,,,,,X,,,,,,X,,,,,,,,,X,,,,,,,
The Greatest Roast Turkey Recipe Of All Time,/recipes/roast-turkey,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,
Tuna Noodle Casserole,/recipes/tuna-noodle-casserole,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
1 Hour Grandma Pizza,/recipes/grandma-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Pumpkin Crème Brûlée,/recipes/pumpkin-creme-brulee,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Cheesy Stuffed Shells,/recipes/cheesy-stuffed-shells,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,
Easiest Actually Good Cinnamon Rolls,/recipes/easiest-cinnamon-rolls,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,
Potato Pavé,/recipes/potato-pave,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tinga,/recipes/chicken-tinga,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,
Restaurant-Level Hashbrowns,/recipes/hashbrowns,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Patatas Bravas,/recipes/patatas-bravas,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fried Crushed Potatoes,/recipes/crusherton-potatoes,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Purée,/recipes/potato-puree,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Chicken,/recipes/tandoori-chicken,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,
Grown Up Chicken Nuggets,/recipes/grown-up-chicken-nuggets,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Greatest Of All Time French Toast,/recipes/goat-french-toast,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,
Good Better and Best Mac n Cheese,/recipes/mac-n-cheese-3-ways,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,
Weeknight Banh Mi,/recipes/weeknight-banh-mi,,,,,,,,,,,,,,X,,,,X,,,X,,,,,,,,
Spicy Gochujang Marinade,/recipes/spicy-marinade,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,
Aromatic Curry Marinade,/recipes/aromatic-marinade,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Herby Marinade,/recipes/herby-marinade,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Crispy Chicken Caesar Salad,/recipes/crispy-chicken-ceasar,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,
Easiest Actually Good Sourdough Bread,/recipes/easiest-sourdough,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melted Pork Shoulder,/recipes/melted-pork-shoulder,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,
The Greatest Pancake of All Time,/recipes/the-greatest-pancake,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,
Enchiladas Verdes,/recipes/enchiladas-verdes,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,
New York Bagels,/recipes/new-york-bagels,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Salad Dressings,/recipes/classic-salad-dressings,,,,,,,,,,,,,,,X,,,X,,X,,,,,,,,,,
Tlyuda,/recipes/tlyuda,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,
The Easiest Actually Good Pizza Dough - No Mixer,/recipes/the-easiest-pizza-dough,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,
Greek Chicken Souvlaki,/recipes/chicken-souvlaki,,,,,X,,,,,X,,,,,,,,,,,,,X,,,,,,
Mediterranean Summer Menu,/recipes/mediterranean-summer-menu,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,
Weeknighting: Dan Dan Noodles,/recipes/dan-dan-noodles,,,,,,,,,,,,X,,,,,,X,,,X,,X,,,,,,
Steak Au Poivre,/recipes/steak-au-poivre,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Mousse,/recipes/chocolate-mousse,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Flourless Chocolate Cake,/recipes/flourless-chocolate-cake,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Chocolate Crinkle Cookies,/recipes/chocolate-crinkle-cookies,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Japanese Fried Chicken (Karaage),/recipes/karaage,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,
Crunchy Tacos,/recipes/crunchy-tacos,,X,,,,,,,,,X,,,,,,,,,,,,,,,,X,,
Green Goddess Egg Salad,/recipes/green-goddess-egg-salad,,,,,,,,,,X,,,,,X,,,,,X,,,,,,X,,,
Classic American Deli-Style Egg Salad,/recipes/classic-egg-salad,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,
Japanese Tamago Egg Salad,/recipes/japanese-tamago-egg-salad,,,,,,,,,,X,,,,,X,,,,,,,X,,X,,,
Linguine and Clams,/recipes/linguine-and-clams,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,
Baked Polenta and Tomato Sauce,/recipes/baked-polenta,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Italian Sausage and Rapini Pasta,/recipes/italian-sausage-and-rapini-pasta,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,
Braised Chicken Cacciatore,/recipes/braised-chicken-cacciatore,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Tavern Style Chicago Thin Crust Pizza,/recipes/chicago-style-thin-crust-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Crockpot Italian Beef,/recipes/crockpot-italian-beef,,X,,,,,X,,,,,,,X,,,,,,,,,,,X,,,
Carrot Cake,/recipes/carrot-cake,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
20 Craveable Meals 1 Hour,/recipes/craveable-meals,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,
Clam Chowder 2 Ways,/recipes/clam-chowder,,,,,,,X,X,,,,,,,,X,,,,,,,,,,,,,
Corned Beef and Cabbage,/recipes/corned-beef,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,
Chicken And Dumplings,/recipes/chicken-and-dumplings,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,
5 Ingredient Mexican: Arroz Con Pollo,/recipes/5-ingredient-mexican-arroz-con-pollo,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,
5 Ingredient Mexican: Slow Cooker Al Pastor,/recipes/5-ingredient-mexican-slow-cooker-al-pastor,,,,,,,,,,,,X,,,,,,,X,,,,,X,,,
5 Ingredient Mexican: Enchiladas,/recipes/5-ingredient-mexican-enchiladas,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,
5 Ingredient Mexican: Mushroom Quesadilla,/recipes/5-ingredient-mexican-mushroom-quesadilla,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,
5 Ingredient Mexican: Tostada,/recipes/5-ingredient-mexican-tostada,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,
Basque Cheesecake,/recipes/basque-cheesecake,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Braised Beef Short Ribs,/recipes/beef-short-ribs,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,
30 Minute Chili,/recipes/30-minute-chili,,X,,,,,X,,,,,,,,,,X,,X,,,,,,X,,,,,
Italian Wedding & Minestrone Mashup Soup,/recipes/italian-wedding-amp-minestrone-mashup-soup,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,
Budget Pad Woon Sen,/recipes/pad-woon-sen,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
Keema Curry,/recipes/keema-curry,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,
Lobster Bisque,/recipes/lobster-bisque,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,
Miso Glazed Salmon with Corn & Asparagus Succotash,/recipes/miso-glazed-salmon-with-corn-amp-asparagus-succotash,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,
Sheet Pan Sweet Potato Alloo Gobi,/recipes/sheet-pan-sweet-potato-alloo-gobi,,,,,,,,,,X,,,,,,,,,,X,,X,,,,,,,
Sheet Pan Chicken and Vegetables,/recipes/sheet-pan-chicken-and-vegetables,,,,,X,,,,,X,,,,,,,,,X,,,,,,,,,,
Stuffed Mushrooms,/recipes/stuffed-mushrooms,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Caesar Salad Deviled Eggs,/recipes/caesar-salad-deviled-eggs,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,
Smoked Salmon Dip,/recipes/smoked-salmon-dip,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,X
Shrimp Cocktail,/recipes/shrimp-cocktail,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,
Cheese Puffs,/recipes/cheese-puffs,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pot Roast,/recipes/pot-roast,,X,,,,,X,,,,,,,,,,,,,,,,,X,,,
Coq Au Vin,/recipes/coq-au-vin,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,
Tonkotsu Ramen,/recipes/tonkotsu-ramen,,,,,,,,,,,,,,,,,X,,,X,,X,,,,,,,
1 Dough 3 Baguettes,/recipes/1-dough-3-baguettes,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Butter Sage Pasta,/recipes/brown-butter-pasta,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,
Rapini Anchovy Pasta,/recipes/rapini-anchovy-pasta,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,
Bacon and Peas Pasta,/recipes/bacon-pea-pasta,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,
Tokyo Style Tonkatsu,/recipes/tokyo-style-tonkatsu,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,
Detroit Style Pan Pizza,/recipes/detroit-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Creamy Ground Beef Stroganoff,/recipes/ground-beef-stroganoff,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,
20 Healthy Meals for $30,/recipes/20-healthy-meals,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
Sheet Pan Apple Pie,/recipes/sheet-pan-apple-pie,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
Oven Wings,/recipes/oven-wings,X,,,,X,,,,,,,,,,,,,,,,,,X,X,,,,,
25 Minute Stir Fry,/recipes/25-minute-stir-fry,,,,,,,,,,,,,,,,,,X,,,,X,,X,,,,,
Tahdig,/recipes/tahdig,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Sofrito Rice,/recipes/sofrito-rice,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Pilaf,/recipes/rice-pilaf,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Pot Carbonara,/recipes/one-pot-carbonara,,,,,,,,,,,,X,,,,,,X,,X,,,,,X,,,,
25 Minute Shrimp Tacos,/recipes/shrimp-tacos,,,,,,,,,X,,,X,,,,,,,,,,,,,X,,,X,,
3 Easy Pan Sauces To Upgrade Your Cooking,/recipes/easy-pan-sauces,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Amazing Tikka Masala,/recipes/tikka-masala,,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,
3 Ways to Make the Best Chicken Wings of Your Life,/recipes/fried-chicken-wings-3-ways,X,,,,X,,,,,,,,,,,,,,,,,,X,X,,,,,
How I Cook a Week's Worth of Healthy Food in 1 Hour,/recipes/healthy-meals-in-1-hour,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
Crispy Chocolate Chip Cookie,/recipes/crispy-chocolate-chip-cookie,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Quick and Easy Bean and Bacon Breakfast Taco,/recipes/bean-bacon-breakfast-taco,,,,X,,,,,,,,,,,,,,,,X,,,,X,,,X,,
15min Breakfast Tacos: Hashbrown Quesadilla,/recipes/hashbrown-quesadilla-taco,,,,X,,,,,,,X,,,,,,,,,,,,,,X,,,X,,
15-Min Breakfast Chorizo Taco,/recipes/fast-chorizo-taco,,,,X,,,,,,,X,,,,,,,,,,X,,,,X,,,X,,
Grilled Pizza,/recipes/grilled-pizza,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,
The Easiest Actually Good Bread (1 Dough 3 Loaves),/recipes/1-dough-3-loaves-2,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Perfect French Fries,/recipes/french-fries,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Kebabs,/recipes/grilled-kebabs,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Chocolate Croissant,/recipes/chocolate-croissant,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,
Pizza Bagels,/recipes/pizza-bagels,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Turkey Club Sandwich,/recipes/turkey-club,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Chinese Style Shumai Dumplings,/recipes/shumai,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Quick Korean BBQ,/recipes/quick-kbbq,,X,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Spicy Tuna Roll Chicken Salad,/recipes/spicy-tuna-roll-chicken-salad,,,,,X,,,,,X,,,,,X,,,,,,,X,,,,,,,
Herby Pesto Chicken Salad,/recipes/pesto-chicken-salad,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,
Curried Chicken Salad,/recipes/curried-chicken-salad,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,
1 Hour Bagels,/recipes/1-hour-bagels,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roast Beef N Cheddar,/recipes/roast-beef-n-cheddar,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Chicago Deep Dish Pizza (New & Improved Recipe),/recipes/chicago-deep-dish-2,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Sheet Pan Fajitas,/recipes/sheet-pan-fajitas,,X,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,
Japchae (Korean Stir Fried Glass Noodles),/recipes/japchae,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,
Chicken Marsala with Creamy Polenta,/recipes/chicken-marsala,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Takoyaki,/recipes/takoyaki,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Jelly Donuts,/recipes/jelly-donuts,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,
Faster Better Spaghetti & Meat Sauce,/recipes/faster-better-spaghetti-amp-meat-sauce,,X,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
Deluxe Breakfast Burrito,/recipes/breakfast-burrito,,,,X,,,,,,,,X,,,,,,,,,,,,,X,,,,
BBQ Chicken Pizza,/recipes/bbq-chicken-pizza,,,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,
Crispy Spring Rolls,/recipes/crispy-spring-rolls,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Fresh Spring Rolls (Summer Rolls),/recipes/fresh-spring-rolls,X,,,,,,,,,,,,,,,,,,X,X,,X,,,,,,,
Creme Brûlée,/recipes/creme-brulee,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Chilaquiles,/recipes/chilaquiles,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,
Deep Dish Quiche Lorraine,/recipes/deep-dish-quiche-lorraine,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,
Sloppy Joseph,/recipes/grown-up-sloppy-joes,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,
Fried Catfish & Hush Puppies with Spicy Mayo Tartar Sauce,/recipes/fried-catfish-and-hush-puppies,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,
Hummus & Pita,/recipes/hummus-and-pita,X,,,,,,,,,,,,,,,,,,X,X,,,,,,,,X
Orange Chicken,/recipes/orange-chicken,,,,,X,,,,,,,,,,,,,X,,,,X,,,,,,,
Flaky Biscuit,/recipes/flaky-biscuit,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fancy" Baked Mac & Cheese,/recipes/fancy-baked-mac-cheese,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,
Classic Southern Style Baked Mac & Cheese,/recipes/southern-style-mac-cheese,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,
Speed Scratch Chicken Soup,/recipes/speed-scratch-chicken-soup,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,
Shepherd's Pie,/recipes/shepherds-pie,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,
Calzone (Pepperoni & 4 Cheese),/recipes/calzones,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,
Authentic-ish Pad Thai,/recipes/pad-thai,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,
The Best Classic Lasagna Recipe,/recipes/classic-lasagna,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,
3 Quick & Easy Stir Fry Recipes,/recipes/3-quick-amp-easy-stir-fry-recipes,,,,,,,,,,,,,,,,,,X,,,,X,,X,,,,,
East Coast Bar Pizza,/recipes/east-coast-bar-pizza,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
Braised Brisket & Noodle Kugel,/recipes/braised-brisket-noodle-kugel,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,
Creamy Mushroom White Sauce Pasta,/recipes/creamy-mushroom-pasta,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,
Chicken Quesadilla with Homemade Tortilla & Chipotle Ranch,/recipes/chicken-quesadilla,,,,,X,,,,,,X,,,,,,,X,,,,,,,,,,,,
15 Minute Beef & Broccoli,/recipes/15-minute-beef-amp-broccoli,,X,,,,,,,,,,,,,,,,X,,,,X,,X,,,,,
Croque Madam,/recipes/croque-madam,,,,X,,,,,,,,,,,X,,,,,,,,,,X,,,
Crispy Korean Fried Chicken,/recipes/korean-fried-chicken,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,
3 Great Recipes For Leftover Turkey,/recipes/leftover-turkey-recipes,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Chopped Cheese Sandwich,/recipes/chopped-cheese-sandwich,,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,
Perfect Tiramisu (Classic and Pumpkin Spice Latte),/recipes/perfect-tiramisu,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Classic Holiday Sides,/recipes/holiday-sides,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Beef Stew,/recipes/beef-stew,,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,
Apple Galette,/recipes/apple-galette,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Pasta alla Vodka,/recipes/pasta-alla-vodka,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Swedish Meatballs with Cranberry Jelly Mashed Potatoes and Gravy,/recipes/swedish-meatballs,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Schnitzel and Spaetzle Feast,/recipes/schnitzel-and-spaetzle,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,
Quick Green Curry,/recipes/quick-green-curry,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,
